line_cd,company_cd,line_name,line_name_k,line_name_h,line_name_r,line_name_rn,line_name_zh,line_name_ko,line_color_c,line_color_t,line_type,line_symbol1,line_symbol2,line_symbol3,line_symbol4,line_symbol1_color,line_symbol2_color,line_symbol3_color,line_symbol4_color,line_symbol1_shape,line_symbol2_shape,line_symbol3_shape,line_symbol4_shape,lon,lat,zoom,e_status,e_sort,average_distance
11203,2,はまなすベイライン大湊線,ハマナスベイラインオオミナトセン,大湊線,Ominato Line,Ominato Line,大凑线,오미나토선,F1AA28,ゴールド,2,,,,,,,,,,,,,141.23418887464,41.077048328671,10,0,11203,5606.183906
11204,2,五能線,ゴノウセン,五能線,Gono Line,Gono Line,五能线,고노선,0000FF,ブルー,2,,,,,,,,,,,,,140.15359998565,40.622488236236,9,0,11204,3227.039567
11205,2,津軽線,ツガルセン,津軽線,Tsugaru Line,Tsugaru Line,津轻线,쓰가루선,00B2E5,スカイブルー,2,,,,,,,,,,,,,140.63796429123,40.997248975384,10,0,11205,3006.190835
11206,2,八戸線,ハチノヘセン,八戸線,Hachinohe Line,Hachinohe Line,八户线,하치노헤선,FF0000,レッド,2,,,,,,,,,,,,,141.70193442266,40.402643082498,10,0,11206,2442.325343
11207,2,岩泉線,イワイズミセン,岩泉線,Iwaizumi Line,Iwaizumi Line,岩泉线,이와이즈미선,808080,グレー,2,,,,,,,,,,,,,141.71109069292,39.752566661875,11,2,11207,4374.356794
11208,2,ドラゴンレール大船渡線,ドラゴンレールオオフナトセン,大船渡線,Ofunato Line,Ofunato Line,大船渡线,오후나토선,FF6600,オレンジ,2,,,,,,,,,,,,,141.47242982203,38.96164068758,10,0,11208,3781.525185
11209,2,銀河ドリームライン釜石線,ギンガドリームラインカマイシセン,釜石線,Kamaishi Line,Kamaishi Line,釜石线,가마이시선,3399FF,スカイブルー,2,,,,,,,,,,,,,141.52791235222,39.326364547483,10,0,11209,3493.245704
11210,2,北上線,キタカミセン,北上線,Kitakami Line,Kitakami Line,北上线,기타카미선,9966FF,パープル,2,,,,,,,,,,,,,140.84662392256,39.304718789615,10,0,11210,3375.587327
11211,2,田沢湖線,タザワコセン,田沢湖線,Tazawako Line,Tazawako Line,田泽湖线,다자와코선,CC00CC,レッドパープル,2,,,,,,,,,,,,,140.76856720416,39.693448497696,10,0,11211,4157.669551
11212,2,十和田八幡平四季彩ライン,トワダハチマンタイシキサイライン,花輪線,Hanawa Line,Hanawa Line,花轮线,하나와선,FF0000,レッド,2,,,,,,,,,,,,,140.84534883051,40.133731429354,10,0,11212,3711.570064
