company_cd,rr_cd,company_name,company_name_k,company_name_h,company_name_r,company_name_en,company_name_full_en,company_url,company_type,e_status,e_sort
195,99,京都市交通局,キョウトシコウツウキョク,京都市交通局,京都市営地下鉄,Kyoto City Transportation Bureau,Kyoto City Transportation Bureau,http://www.city.kyoto.lg.jp/kotsu/,0,0,193
196,99,京福電気鉄道,ケイフクデンキテツドウ,京福電気鉄道株式会社,京福電気鉄道,Keifuku,Keifuku Electric Railroad,http://www.keifuku.co.jp/,0,0,194
197,99,北大阪急行電鉄,キタオオサカキュウコウデンテツ,北大阪急行電鉄株式会社,北急,KITA-OSAKA KYUKO RAILWAY,KITA-OSAKA KYUKO RAILWAY,http://www.kita-kyu.co.jp/,3,0,195
198,99,大阪府都市開発,オオサカフトシカイハツ,大阪府都市開発株式会社,泉北高速,Osaka Prefectural Urban Development,Osaka Prefectural Urban Development,http://www.otk-group.co.jp/,3,0,196
199,99,水間鉄道,ミズマテツドウ,水間鉄道株式会社,水鉄,Mizuma Railway,Mizuma Railway,http://www.suitetsu.com/,0,0,197
249,99,Osaka Metro,オオサカメトロ,大阪市高速電気軌道株式会社,大阪メトロ,Osaka Metro,Osaka Metro,http://www.osakametro.co.jp,2,0,197
200,99,大阪市交通局,オオサカシコウツウキョク,大阪市交通局,大阪市交通局,Osaka Municipal Transportation Bureau,Osaka Municipal Transportation Bureau,http://www.city.osaka.lg.jp/toshikotsu/,0,0,198
201,99,大阪モノレール株式会社,オオサカモノレール,大阪モノレール株式会社,大阪モノレール,Osaka Monorail,Osaka Monorail,http://www.osaka-monorail.co.jp/,0,0,199
202,99,阪堺電気軌道,ハンカイデンキキドウ,阪堺電気軌道株式会社,阪堺,Hankai Tramway,Hankai Tramway,http://www.hankai.co.jp/,0,0,200
203,99,神戸高速鉄道,コウベコウソクテツドウ,神戸高速鉄道株式会社,神戸高速鉄道,KOBE RAPID TRANSIT RAILWAY,KOBE RAPID TRANSIT RAILWAY,http://www.kobe-kousoku.jp/,3,0,201
204,99,神戸電鉄,コウベデンテツ,神戸電鉄株式会社,神鉄,Kobe Electric Railway,Kobe Electric Railway,http://www.shintetsu.co.jp/,0,0,202
205,99,北神急行電鉄,ホクシンキュウコウデンテツ,北神急行電鉄株式会社,北神急行,Hokushinkyuko Railway,Hokushinkyuko Railway,http://www.hokushinkyuko.co.jp/,0,2,203
206,99,山陽電気鉄道,サンヨウデンキテツドウ,山陽電気鉄道株式会社,山陽電車,Sanyo Electric Railway,Sanyo Electric Railway,http://www.sanyo-railway.co.jp/,3,0,204
207,99,能勢電鉄,ノセデンテツ,能勢電鉄株式会社,能勢電,Nose Electric Railway,Nose Electric Railway,http://noseden.hankyu.co.jp/,0,0,205
208,99,三木鉄道,ミキテツドウ,三木鉄道株式会社,三木鉄道,Miki Railway,Miki Railway,,0,2,206
209,99,北条鉄道,ホウジョウテツドウ,北条鉄道株式会社,北条鉄道,Hojo Railway Company,Hojo Railway Company,http://www.hojorailway.jp/,0,0,207
210,99,智頭急行,チズキュウコウ,智頭急行株式会社,智頭急,Chizu Express,Chizu Express,http://www.chizukyu.co.jp/,0,0,208
211,99,神戸市交通局,コウベシコウツウキョク,神戸市交通局,神戸市交通局,Kobe City Transportation Bureau,Kobe City Transportation Bureau,http://www.city.kobe.lg.jp/,0,0,209
212,99,神戸新交通,コウベシンコウツウ,神戸新交通株式会社,新神交,Kobe New Transit,Kobe New Transit,http://www.knt-liner.co.jp/,0,0,210
213,99,紀州鉄道,キシュウテツドウ,紀州鉄道株式会社,紀鉄,Kishu Railway,Kishu Railway,http://www.kitetsu.co.jp/,0,0,211
214,99,和歌山電鐵,ワカヤマデンテツ,和歌山電鐵株式会社,和歌山電鐵,WAKAYAMA ELECTRIC RAILWAY,WAKAYAMA ELECTRIC RAILWAY,http://www.wakayama-dentetsu.co.jp/,0,0,212
215,99,若桜鉄道,サカサテツドウ,若桜鉄道株式会社,若鉄,Wakasa Railway,Wakasa Railway,http://www.infosakyu.ne.jp/~wakatetu/,0,0,213
216,99,一畑電車,イチバタデンシャ,一畑電車株式会社,ばたでん,Ichibata Electric Railway,Ichibata Electric Railway,http://www.ichibata.co.jp/railway/,0,0,214
217,99,水島臨海鉄道,ミズシマリンカイテツドウ,水島臨海鉄道株式会社,水島臨海鉄道,Mizushima Rinkai Railway,Mizushima Rinkai Railway,http://www.mizurin.co.jp/,0,0,215
218,99,井原鉄道,イバラテツドウ,井原鉄道株式会社,井原鉄道,Ibara Railway,Ibara Railway,http://plus.harenet.ne.jp/~ibarasen/,0,0,216
