station_cd1,station_cd2,distance
1121906,1121907,2308.828847
1121907,1121908,3550.027618
1121908,1121909,3548.689851
1121909,1121910,2716.507264
1121910,1121911,4159.973843
1121911,1121912,8017.860257
1121912,1121913,5031.369244
1121913,1121914,3756.117533
1121914,1121915,3198.182039
1121915,1121916,7624.367632
1121916,1121917,3639.795315
1121917,1121918,5877.202225
1121918,1121919,3822.23551
1121919,1121920,6707.984305
1122001,1122002,5509.587211
1122002,1122003,3049.308407
1122003,1122004,2300.427541
1122004,1122005,3509.114674
1122005,1122006,6748.776862
1122006,1122007,6035.056834
1122007,1122008,3841.215522
1122008,1122009,3887.957906
1122009,1122010,4106.30301
1122101,1122102,4158.319329
1122102,1122103,2139.209793
1122103,1122104,2832.451575
1122104,1122105,2686.389334
1122105,1122106,3687.281209
1122106,1122107,3046.241274
1122107,1122108,2779.324167
1122108,1122109,2957.455907
1122109,1122110,876.9986134
1122110,1122111,2528.631323
1122111,1122112,3761.357232
1122112,1122113,5801.042385
1122113,1122114,3766.545745
1122114,1122115,1850.580532
1122115,1122116,4550.347417
1122116,1122117,4901.035611
1122117,1122118,5181.561042
1122118,1122119,1594.421711
1122119,1122120,2663.860319
1122120,1122121,3842.197374
1122121,1122122,1887.157415
1122122,1122123,3159.463334
1122123,1122124,5175.478995
1122124,1122125,1736.565754
1122125,1122126,4522.890581
1122126,1122127,4628.636111
1122201,1122202,328.8419159
1122202,1122203,1026.552142
1122203,1122204,1029.219915
1122204,1122205,722.5829151
1122205,1122206,780.2301264
1122206,1122207,1542.993213
1122207,1122208,2002.670534
1122208,1122209,835.9678491
1122209,1122210,1745.334014
1122210,1122211,2134.874541
1122211,1122212,1783.308154
1122212,1122213,742.1581823
1122213,1122214,732.722039
1122214,1122215,1185.833159
1122215,1122216,2932.088677
1122216,1122217,2455.170554
1122217,1122218,2045.566465
1122218,1122219,1765.058833
1122219,1122220,1258.28095
1122220,1122221,2104.142779
1122221,1122222,1460.484841
1122222,1122223,1090.044871
1122223,1122224,2419.844297
1122224,1122225,1594.895093
1122225,1122226,2527.004852
1122226,1122227,1412.629641
1122227,1122228,1541.45422
1122228,1122232,1840.840659
1122229,1122230,980.8129036
1122230,1122231,1308.139339
1122232,1122229,1606.826365
1122301,1122302,3190.303594
1122302,1122303,2722.676433
1122303,1122304,6513.690563
1122304,1122305,4252.843452
1122305,1122306,4017.868508
1122306,1122307,2244.311627
1122307,1122308,3664.310862
1122308,1122309,2952.4851
1122309,1122310,3865.922917
1122310,1122311,1022.203967
1122311,1122312,1266.245436
1122312,1122313,3437.401252
1122313,1122314,2330.305681
1122401,1122402,2729.169197
1122402,1122403,3011.249973
1122403,1122404,3705.239627
1122404,1122405,3109.822442
1122405,1122406,3652.98255
1122501,1122516,3024.706419
1122502,1122503,3603.004146
1122503,1122504,3619.014977
1122504,1122505,4829.035799
1122505,1122506,5015.53022
1122506,1122507,1996.739675
1122507,1122508,1702.475602
1122508,1122509,2305.189981
1122509,1122510,3208.031747
