station_cd,station_g_cd,station_name,station_name_k,station_name_r,station_name_zh,station_name_ko,primary_station_number,secondary_station_number,extra_station_number,three_letter_code,line_cd,pref_cd,post,address,lon,lat,open_ymd,close_ymd,e_status,e_sort
100410,100410,白石蔵王,シロイシザオウ,Shiroishizaō,白石藏王,시로이시자오,,,,,1004,4,989-0213,宮城県白石市大鷹沢三沢字桜田11-1,140.633035,37.995485,1982-06-23,0000-00-00,0,100410
100411,1123143,仙台,センダイ,Sendai,仙台,센다이,,,,,1004,4,980-0021,宮城県仙台市青葉区中央一丁目1-1,140.882244,38.260286,1887-12-15,0000-00-00,0,100411
100412,1122104,古川,フルカワ,Furukawa,古川,후루카와,,,,,1004,4,989-6162,宮城県大崎市古川駅前大通一丁目7-35,140.967832,38.57092,1913-04-20,0000-00-00,0,100412
100413,100413,くりこま高原,クリコマコウゲン,Kurikoma-Kōgen,栗驹高原,구리코마 코겐,,,,,1004,4,989-5612,宮城県栗原市志波姫新熊谷284,141.071785,38.74893,1990-03-10,0000-00-00,0,100413
100414,1123166,一ノ関,イチノセキ,Ichinoseki,一之关,이치노세키,,,,,1004,3,021-0867,岩手県一関市駅前67-1,141.13889,38.92608,1890-04-16,0000-00-00,0,100414
100415,100415,水沢江刺,ミズサワエサシ,Mizusawaesashi,水泽江刺,미즈사와에사시,,,,,1004,3,023-0104,岩手県奥州市水沢区羽田町駅前一丁目185,141.188803,39.145194,1985-03-14,0000-00-00,0,100415
100416,1123174,北上,キタカミ,Kitakami,北上,기타카미,,,,,1004,3,024-0061,岩手県北上市大通り一丁目1-2,141.122598,39.282229,1890-11-01,0000-00-00,0,100416
100417,1120903,新花巻,シンハナマキ,Shin-Hanamaki,新花卷,신하나마키,,,,,1004,3,025-0011,岩手県花巻市矢沢第10地割87-7,141.173715,39.406453,1985-03-14,0000-00-00,0,100417
100418,1123185,盛岡,モリオカ,Morioka,盛冈,모리오카,,,,,1004,3,020-0034,岩手県盛岡市盛岡駅前通1-48,141.136369,39.701683,1890-11-01,0000-00-00,0,100418
100419,9920509,いわて沼宮内,イワテヌマクナイ,Iwate-Numakunai,岩手沼宫内,이와테누마쿠나이,,,,,1004,3,028-4303,岩手県岩手郡岩手町大字江刈内第6地割1-15,141.217655,39.960853,1891-09-01,0000-00-00,0,100419
100420,9920515,二戸,ニノヘ,Ninohe,二户,니노헤,,,,,1004,3,028-6103,岩手県二戸市石切所字森合63-68,141.285655,40.259881,1891-12-20,0000-00-00,0,100420
100421,1120601,八戸,ハチノヘ,Hachinohe,八户,하치노헤,,,,,1004,2,039-1101,青森県八戸市大字尻内町字館田2-2,141.431468,40.509161,0000-00-00,0000-00-00,0,100421
100422,100422,七戸十和田,シチノヘトワダ,Shichinohe-Towada,七戸十和田,시치노헤토와다,,,,,1004,2,039-2501,青森県上北郡七戸町字荒熊内,141.153948,40.719917,2010-12-04,0000-00-00,0,100422
100423,1120265,新青森,シンアオモリ,Shin-Aomori,新青森,신아오모리,,,,,1004,2,038-0003,青森県青森市大字石江字高間140-2,140.693472,40.8275,2016-03-26,0000-00-00,0,100423
100501,1130101,東京,トウキョウ,Tōkyō,东京,도쿄,,,,TYO,1005,13,100-0005,東京都千代田区丸の内一丁目9-1,139.766084,35.681382,1914-12-20,0000-00-00,0,100501
100502,1130220,上野,ウエノ,Ueno,上野,우에노,,,,UEN,1005,13,110-0005,東京都台東区上野七丁目1-1,139.777254,35.713768,1883-07-28,0000-00-00,0,100502
100503,1131906,大宮,オオミヤ,Ōmiya,大宫,오미야,,,,OMY,1005,11,330-0853,埼玉県さいたま市大宮区錦町630,139.624,35.906206,1885-03-16,0000-00-00,0,100503
100504,1132316,熊谷,クマガヤ,Kumagaya,熊谷,구마가야,,,,,1005,11,360-0037,埼玉県熊谷市筑波二丁目112,139.389942,36.139702,1883-07-28,0000-00-00,0,100504
100505,100505,本庄早稲田,ホンジョウワセダ,Honjōwaseda,本庄早稻田,혼조와세다,,,,,1005,11,367-0031,埼玉県本庄市北堀字山ノ根2070,139.179739,36.218575,2004-03-13,0000-00-00,0,100505
100506,1131816,高崎,タカサキ,Takasaki,高崎,다카사키,,,,,1005,10,370-0849,群馬県高崎市八島町222,139.013057,36.322356,1884-05-01,0000-00-00,0,100506
100507,100507,上毛高原,ジョウモウコウゲン,Jōmō-Kōgen,上毛高原,조모 고원,,,,,1005,10,379-1313,群馬県利根郡みなかみ町月夜野1756,138.977579,36.693128,1982-11-15,0000-00-00,0,100507
100508,1134220,越後湯沢,エチゴユザワ,Echigo-Yuzawa,越后汤泽,에치고유자와,,,,,1005,15,949-6101,新潟県南魚沼郡湯沢町大字湯沢主水2427-1,138.809891,36.93611,1925-11-01,0000-00-00,0,100508
100509,1134227,浦佐,ウラサ,Urasa,浦佐,우라사,,,,,1005,15,949-7302,新潟県南魚沼市浦佐719-2,138.922703,37.167591,1923-09-01,0000-00-00,0,100509
100510,1134236,長岡,ナガオカ,Nagaoka,长冈,나가오카,,,,,1005,15,940-0061,新潟県長岡市城内町二丁目794-4,138.853927,37.447787,1898-06-16,0000-00-00,0,100510
100511,1141006,燕三条,ツバメサンジョウ,Tsubamesanjō,燕三条,쓰바메산조,,,,,1005,15,955-0093,新潟県三条市下須頃497,138.93873,37.647752,1982-11-15,0000-00-00,0,100511
100512,1140442,新潟,ニイガタ,Niigata,新泻,니가타,,,,,1005,15,950-0086,新潟県新潟市中央区花園一丁目1-1,139.061883,37.912027,1904-05-03,0000-00-00,0,100512
100601,1134220,越後湯沢,エチゴユザワ,Echigo-Yuzawa,越后汤泽,에치고유자와,,,,,1006,15,949-6101,新潟県南魚沼郡湯沢町大字湯沢主水2427-1,138.809891,36.93611,1925-11-01,0000-00-00,0,100601
100602,100602,ガーラ湯沢,ガーラユザワ,GALA Yuzawa,Gala汤泽,갈라유자와,,,,,1006,15,949-6101,新潟県南魚沼郡湯沢町大字湯沢1039-2,138.799528,36.950889,1990-12-20,0000-00-00,0,100602
