id,type_cd,type_name,type_name_k,type_name_r,type_name_zh,type_name_ko,color,direction,kind,#メモ,#着手済
0,350,S特急,エストッキュウ,Limited Express,S特急,S특급,#22B14C,0,4,山陽電車,COMPLETE
0,400,京王ライナー(京王八王子方面),ケイオウライナー,Keio Liner(for Keiō-hachiōji),京王Liner,게이오 라이너,#DD0077,0,2,,COMPLETE
0,401,京王ライナー(橋本方面),ケイオウライナー,Keio Liner(for Hashimoto),京王Liner,게이오 라이너,#DD0078,0,2,,COMPLETE
0,402,モーニングウィング号,モーニングウィングゴウ,"Morning Wing(Miurakaigan to Shinagawa, Sengakuji)",Morning Wing,모닝윙호,#379412,1,2,,COMPLETE
0,403,イブニングウィング号,イブニングウィングゴウ,Evening Wing(Shinagawa to Misakiguchi),Evening Wing,이브닝윙호,#379412,2,2,,COMPLETE
0,404,方南町支線,ホウナンチョウシセン,Honancho Branch Line,方南町支线,호난초 지선,#E60012,0,1,,COMPLETE
0,405,拝島ライナー,ハイジマライナー,Haijima Liner,拜岛Liner,하이지마 라이너,#B4C300,0,2,,COMPLETE
0,406,TJライナー(下り),TJライナー,TJ Liner(Ikebukuro to Ogawamachi),TJ Liner,TJ Liner,#FF710A,2,2,,COMPLETE
0,407,TJライナー(上り),TJライナー,TJ Liner(Ogawamachi to Ikebukuro),TJ Liner,TJ Liner,#008CD6,1,2,,COMPLETE
0,408,支線,シセン,Branch Line,支線,경로,#9686BD,0,1,ポートアイランド線用,COMPLETE
0,409,各駅停車(田園都市線経由),カクエキテイシャ,Local,每站停车,각역정차,#1F63C7,0,0,大井町線用,COMPLETE
0,410,泉北ライナー,センボクライナー,Semboku Liner,泉北Liner,센보쿠라이너,#E6B422,0,2,,COMPLETE
0,411,支線,シセン,Branch Line,支線,경로,#009944,0,1,北綾瀬支線,COMPLETE
0,500,りょうもう(浅草〜伊勢崎),リョウモウ,Ryomo(Asakusa to Isesaki),Ryomo,료이제,#FF0000,0,4,,COMPLETE
0,501,りょうもう(浅草〜葛生),リョウモウ,Ryomo(Asakusa to Kuzū),Ryomo,료이제,#FF0000,0,4,,COMPLETE
0,502,りょうもう(浅草〜赤城),リョウモウ,Ryomo(Asakusa to Akagi),Ryomo,료이제,#FF0000,0,4,,COMPLETE
0,503,スカイライナー,スカイライナー,Skyliner,Skyliner,Skyliner,#0A3788,0,4,,COMPLETE
0,504,小江戸号,コエドゴウ,Koedo,小江户,고에도,#E73042,0,4,,COMPLETE
